transcription,recording_id,input_values,labels,model_transcription
lufthansa three five five zero stop your climb at flight level two seven zero expect higher after kilo romeo hotel ,041_0050,"[-0.47462723 -0.40395373 -0.4431811  ...  0.12192208 -0.3876404
  0.00145714]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 4]",ALOFTANZATREE FIVE FIVE ZEARIL STOP YOUR CLINE AT FLIGHT LEVEL TWO SEVEN ZEROIX SPECTIRAE AFTER CILORONIOTE
saudia one zero six contact rhein radar one three two decimal four ,041_0051,"[-0.02985845 -0.36393705 -0.36358643 ... -0.32844117 -0.03362811
  0.02160448]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",STADIAWANZARA'S SIX CONTUCT VINE READ I WANTRY TU TAS ON THE FOUR
golf juliett india turn right to trasadingen tango romeo alfa ,041_0052,"[-0.17981835 -0.817763   -1.384607   ...  0.1846752   0.01273809
  0.00606701]","[3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3
 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",COLCHULI INETA NWIT TO TRAZARING IN TENGROMIALFA
alitalia six four seven four contact rhein radar one two seven decimal three seven ,041_0053,"[-0.20982309 -0.54395676 -0.10076845 ... -0.3705927  -0.38287717
  0.12123747]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 4]",WHILE I TELL YOUR SIX FOR SEVEN FORCONTEGRIREDA WANT TO SEND TUS FOR THREE SO
bee med one turn right to kilo papa tango ,041_0054,"[-0.6152682  -0.7444017  -0.47305343 ...  0.3076734  -0.2866253
 -0.7964257 ]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 4]",BEING AT ONCE ON RIGHT TO KILL UP AFATANGL
[EMPTY] ,041_0055,"[-12.515427   -11.55317     -7.595383   ...  -1.4586885   -8.762225
  -0.29217887]",[ 3  5 17 23  6 22  3  4],
kilo papa tango ,041_0056,"[-1.0452244  -1.7751815   0.7507142  ... -0.18032774 -2.339512
 -2.4069324 ]",[3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4],GILLO PAPATENGO
[EMPTY] ,041_0057,"[-7.3092036  -0.7768424  -4.6468544  ...  3.2393012  -6.5307527
  0.16064684]",[ 3  5 17 23  6 22  3  4],
ah bee med one roger report heading ,041_0058,"[-0.30953547 -0.47650072 -1.1566789  ...  0.06657614  0.08935519
  0.00355573]",[3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4],AH BE MET ONE ROCHER REPOT HEADING
bee med one in this case turn left heading one one zero for separation ,041_0059,"[-0.48318914 -0.40616497 -0.50124735 ...  0.04690971 -0.40647736
  0.00162731]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",TE MADONE IN THIS CASE TURNED LEFTING ONE ONE ZERO FOR SEPARATION
sabena eight three six non ~r ~v ~s ~m identified ,041_0060,"[-0.1640865  -0.39277378 -0.34103605 ... -0.0017597  -0.30891734
  0.00143813]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 4 3 3 4 3 3 4 3
 3 4 3 3 3 3 3 3 3 3 3 3 4]",SEVINA EIGHT THRY SIX NON ARVIUS M IDENTIFIED
alitalia one five zero good afternoon stand by for identification ,041_0061,"[-0.50742096 -0.1761422  -0.40052986 ...  0.11389818 -0.09237145
  0.00136845]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4]",ALITT ALIA ONE FIVE ZERO GOOD OFTEN ON STEMBER FOR IDENTIFICATION
bee med one continue left heading one hundred ,041_0062,"[-0.31356323 -0.4748218  -0.32118255 ...  1.1029737  -0.07128754
  0.00399288]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 4 3 3 3 3 3 3 3 4]",BEAMUD ONE CONTINUEL LEFTING ONE HUNDRED
bee med one climb to flight level three four zero ,041_0063,"[-0.3521324  -0.9444952  -0.35240903 ... -0.43149945 -0.21206562
  0.00299607]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 4]",BEING AD ONE CLIMED TO FLIGHT LIVEL SREE FOR ZURU
affirm ,041_0064,"[-0.22107926 -1.4380437  -1.5883901  ...  0.15879098 -0.5078621
 -1.3385732 ]",[3 3 3 3 3 3 4],EPHAR
lufthansa four two zero nine turn left to dinkelsbuhl ,041_0065,"[-0.15957695 -0.34509155 -0.5467568  ...  0.01510823  0.03515223
 -0.05298661]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",LEFT ON ZA FORTUSERANINA TURN LEFT TO TINCL SPIR
[EMPTY] ,041_0066,"[-1.1957633   0.1864578  -0.4365762  ... -1.6959051  -2.086669
  0.31452662]",[ 3  5 17 23  6 22  3  4],
belgian airforce one four four non ~r ~v ~s ~m identified ,041_0067,"[-0.24797602 -0.36744094 -0.30446455 ... -0.01452403 -0.4876706
 -0.1118672 ]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3
 4 3 3 4 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",BUJAMIF WAS ONE FOREFORM NON OBVIOUS AND IDENTIFIED
delta india mike mike echo is identified you're cleared direct to tango romeo alfa to climb flight level two nine zero ,041_0068,"[-0.18894611 -0.2819977  -0.3480554  ...  0.04836407  0.02845377
 -0.30875573]","[ 3  3  3  3  3  4  3  3  3  3  3  4  3  3  3  3  4  3  3  3  3  4  3  3
  3  3  4  3  3  4  3  3  3  3  3  3  3  3  3  3  4  3  3  3 27  3  3  4
  3  3  3  3  3  3  3  4  3  3  3  3  3  3  4  3  3  4  3  3  3  3  3  4
  3  3  3  3  3  4  3  3  3  3  4  3  3  4  3  3  3  3  3  4  3  3  3  3
  3  3  4  3  3  3  3  3  4  3  3  3  4  3  3  3  3  4  3  3  3  3  4]",THEY TANY A MIKE MIKE ECHO IS IDENTIFIET ECLYA DIREC TO TINGLE ON TE AEPHATICLIME FLY LITTLE TO NINA ZERO
golf juliett india contact now zurich one three three decimal four ,041_0069,"[-0.1518628  -0.19453855 -0.18057051 ...  0.02313975 -0.12765983
 -0.41266307]","[3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",CONCHULIADINI CONTACT NOT SOHEON TO RETREAT A SIMIL FOR
hotel tango romeo contact rhein radar one two seven decimal three seven ,041_0070,"[-0.465586   -0.4261396  -0.23782574 ... -0.04352671 -0.06299502
  0.00245552]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",WHAT I TANGOOR MIO CONTACT VINLATE I ON TO SEVEN TO SM THREE SEVEN
lufthansa three five five zero climb now to flight level two nine zero ,041_0071,"[-0.8157918  -1.0353116  -1.092396   ... -1.9827797  -0.5028569
  0.00740672]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",LEFT UNDER THREE FIVE FIVE ZIROCLA NOT O FLOOD LTO NAINAZIRO
cross air eight five eight is identified ,041_0072,"[-1.6574873e-01 -5.0515050e-01  1.8412257e-02 ...  3.1343943e-01
 -1.6352722e-04 -2.2707848e-01]","[3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",CROSSAIER EIGHT FIVE EIHT IS IDENTIFIED
bee med one proceed now own navigation to lupen ,041_0073,"[-0.70393586 -1.1819677  -0.93733346 ...  0.17035311 -0.58743745
  0.00203861]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4 3 3 4 3 3 3 3 3 4]",BE MERT UAN PROCEED NAW ON NAVIGATION TO LUP HIM
[EMPTY] ,041_0074,[-2.851713  -3.4472356 -3.0803585 ...  2.0975516 -4.653866  -4.568129 ],[ 3  5 17 23  6 22  3  4],
adria one six two seven identified ,041_0075,"[-0.0411692  -0.13659957 -0.14062855 ...  0.02206481  0.00574739
  0.0177772 ]",[3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],AREA ONCE SIX TO SEVEN IDENTIFIED
lufthansa four two zero nine contact rhein radar one three two decimal four ,041_0076,"[-0.5571257  -1.0510396  -0.38930508 ... -0.22627006  0.30566785
  0.00261923]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 4]",LAFTANZA FORTU SIRA NINARE CONTACT RIN REDA ONE TRETWO DE SIMO FOUR
merair six nine five two is identified climb to flight level two five zero ,041_0077,"[-0.20255113 -0.18550058 -0.2655614  ...  0.07697248 -0.03696563
 -0.01551074]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3
 4]",MAY OR SEX NINE A FIVE TO US IDENTIFIGHT IAM TO FLY LEVEL TO PHI ZERO
sabena eight three six contact rhein radar one two seven decimal three seven ,041_0078,"[-0.2107242  -0.4997689  -0.06399237 ... -0.05988869 -0.07262878
  0.03321741]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4]",SEBINATRY SIX CONTECT WITH INALETA UNTI SEVEN TO SM THIRE SEVEN
bee med one contact rhein radar one three two decimal four ,041_0079,"[-0.03783761 -0.2031816  -0.2865655  ...  0.20424251 -0.4699691
 -0.2918205 ]","[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",BI MADJUAN CONTEGRY NORET I WAN T RETWOTI SUM BE FOUR
@aerovic one zero six one is identified ,041_0080,"[-0.2277376  -0.33619326 -0.15948458 ... -0.33654818  0.05369944
  0.00241252]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3
 3 3 4]",AIRI VECMANZERA SIX MONUS IDENTIFIGHT
tarom three seven four rhein radar ,041_0081,"[-0.09114071 -0.22227488 -0.2539304  ... -0.01220683 -0.24730723
 -0.4545568 ]",[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4],DN PRTY SEVENT FORVINE LATER
tarom three seven four report your heading ,041_0082,"[-0.09049627 -0.18186685 -0.22476274 ... -0.01441588  0.010561
 -0.05341534]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 4]",DOWN TRAY SEVEN FOR REPORTYU HEADING
tarom three seven four turn left heading one one zero for separation ,041_0083,"[-0.25838497 -0.47568738 -0.11155337 ...  0.00523037  0.05847279
  0.00210993]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3
 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",TUNTRY SEVEN FORTURN LEFTING MANMAN ZERO FOR SEPARATION
alitalia two nine one is identified ,041_0084,"[-0.62823415 -0.22793931 -0.09487651 ... -0.05256442 -0.92522115
 -0.26969758]",[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4],ALITALYA TUN NINOU WONDERSIDENTIFIET
~k ~l ~m three one seven is identified however this is the wrong frequency ah i'll call you back for a new one ,041_0085,"[-0.35782602 -0.12637025  0.08863183 ... -0.03618708 -0.28349784
  0.04402669]","[ 3  3  4  3  3  4  3  3  4  3  3  3  3  3  4  3  3  3  4  3  3  3  3  3
  4  3  3  4  3  3  3  3  3  3  3  3  3  3  4  3  3  3  3  3  3  3  4  3
  3  3  3  4  3  3  4  3  3  3  4  3  3  3  3  3  4  3  3  3  3  3  3  3
  3  3  4  3  3  4  3 27  3  3  4  3  3  3  3  4  3  3  3  4  3  3  3  3
  4  3  3  3  4  3  4  3  3  3  4  3  3  3  4]",KILLHAMS THREE ONE SEVEN IS IDENTIFIED HIVERDUS IS A WRONG FREQUENCY I CALL YOU BICK FOR A NEW ONE
lufthansa three five five zero contact zurich one three four decimal six ,041_0086,"[-0.33863246 -0.28572857 -0.21350269 ... -0.48933822 -0.3139663
  0.00272691]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LEFTANDATRIFO FO ZERO CONTACTSULICONTRE FOUR DECEMBER SIX
merair six nine five two climb to flight level two seven zero ,041_0087,"[-0.26638165 -0.48422503 -0.1402581  ...  0.05247243 -0.333098
  0.00198066]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3
 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",MAY OUR SIX NINE OUG FIVE TWO CLIMBE TO FLIGHT LEVEL TO SEVEN ZERO
delta mike echo climb to flight level three zero zero ,041_0088,"[-0.5063988  -0.37249914 -1.0050005  ... -0.35545543 -0.8750328
 -0.05099158]","[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",DELTA MIKE ECHO CLIMBED TO FLIGT LEVELLES TREE ZEROZERO
alitalia two nine one report your heading ,041_0089,"[-0.2251736  -0.25247222 -0.03323773 ... -0.11297256 -0.03005282
  0.00184877]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 3 3 3 4]",LITALYA TIN I O HONORPODY ADDING
alitalia two nine one turn left heading one one five for separation ,041_0090,"[-0.31422824 -0.30769306 -0.12251482 ... -0.05186046 -0.20478983
 -0.46262974]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",LITALYATU NYNOMANTON LEFT HING ONE ONE FIVE FOR SEPARATION
affirm ,041_0091,"[-2.1243503  -0.39735287 -1.2792456  ... -0.64334095  0.63913774
  0.07132447]",[3 3 3 3 3 3 4],AFFIRM
@aerovic one zero six one report your mach number ,041_0092,"[-0.3771533  -0.50729537 -0.04319781 ...  0.06414906 -0.22314067
 -0.28147992]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 4 3 3 3 3 4 3 3 3 3 3 3 4]",ERI VEK VANZOR A SIX ONE REPOT YOR MUNUMBE
@aerovic one zero six one can you increase to decimal seven six or more ,041_0093,"[ 0.05017319 -0.3170642  -0.46096423 ...  0.01935932 -0.02486833
  0.0025405 ]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3
 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 4]",ERIVEGMANZARA SIXMON CANYOU INCREASE TO DISIMUL SEVEN SIX OR MORE
roger do so @aerovic one zero six one ,041_0094,"[-0.81436473 -1.2970952  -0.24362652 ... -0.5172096  -0.6395316
  0.25793475]","[3 3 3 3 3 4 3 3 4 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3
 4]",ROTREDUSA EREVICONS OR A SIXAN
alitalia two nine one set your speed to mach decimal seven six or less ,041_0095,"[-0.24067976 -0.23816043 -0.05649187 ... -0.05405499 -0.16993359
  0.00163207]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4
 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 4]",AYO TELL YOU TWO NINOU ONE SET YOUR SPEED TO MARTESMO SEVEN SIX O US
roger ,041_0096,"[-1.6960819  -0.69856405 -0.5560563  ... -0.05617748  0.03577593
  0.07417637]",[3 3 3 3 3 4],WUT
cross air eight five eight contact rhein radar one two seven decimal three seven ,041_0097,"[-0.08396537 -0.15052359 -0.19578114 ...  0.06569453 -0.08338537
  0.00177345]","[3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4]",CROSSA EIGHT FIVE EIGHT CONDUCT RINOID I WANT TO SEVEN TO SMETRY SEVN
malaysian four is identified ,041_0098,"[-0.18182892 -0.20886824 -0.16095062 ...  0.04927144  0.18636301
  0.00218847]",[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4],MELAZIAN FOUR IS O DENTIFIED
calling rhein say again ,041_0099,"[-0.27595732 -0.13922082 -0.1270383  ... -0.04166912 -0.09581774
  0.00293661]",[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4],CLAIG GLANCE AT AGAIN
ah nato ten is identified ,041_0100,"[-0.32608405 -0.6572751  -0.43563592 ...  0.17542008 -0.3540057
  0.00352107]",[3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4],A NATOTENT IS IDENTIFIED
~k ~l ~m three one seven expect descent in one minute i'll call you back ,041_0101,"[-0.10403139 -0.14882174 -0.09322641 ... -0.29900542 -0.06627417
  0.03256824]","[ 3  3  4  3  3  4  3  3  4  3  3  3  3  3  4  3  3  3  4  3  3  3  3  3
  4  3  3  3  3  3  3  4  3  3  3  3  3  3  3  4  3  3  4  3  3  3  4  3
  3  3  3  3  3  4  3 27  3  3  4  3  3  3  3  4  3  3  3  4  3  3  3  3
  4]",CANAM THRAY ONE SEVEN EXPECT TO SEND IN ONE MINUTE A COLYBIC
merair six nine five two climb to flight level two nine zero ,041_0102,"[-0.13033009 -0.5188024  -0.17151648 ...  0.08259171 -0.11734936
 -0.30663475]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3
 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",MAY AR SEX NINE A FIVE TO CLIMB TO FLIGHT LEVEL TO NINAZERO
alitalia one five zero proceed direct to fox fox mike ,041_0103,"[-0.33900356 -0.2235944   0.03443626 ... -0.32135838 -0.20102523
 -0.01869905]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3
 4 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4]",LITALIA ONE FIVE ZILOPUSIT DIAREC TO FOXHOX MIKE
ah alitalia one five zero disregard fox fox mike turn left two zero degrees report new heading ,041_0104,"[-0.5577246  -0.18952246  0.11072665 ... -0.04647059  0.02178804
 -0.05272757]","[3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",AHILITTLE A ONE FIRES TE VER DISREGARD FOX FOX MIKE TUR AND LEFT TOO SIL DEGREES REPORTNANI
swissair nine three five nine is identified good afternoon ,041_0105,"[-0.5452967  -0.6488619  -0.00724865 ...  0.01103496 -0.49284425
  0.00411463]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3
 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4]",SPECI NINA THREE FIVE NINUS IDENTIFIID GOOD AFTERNOON
lufthansa five five zero four contact zurich one three four decimal six ,041_0106,"[-0.2303002  -0.3597421  -0.20458128 ... -0.5488204   0.08414213
  0.07579507]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LOFTANS A FIE FISE O FOR CONTUC SI HE WANT THREE FOUR TO SUMOR SIX
adria one six two seven contact rhein radar one three two decimal four ,041_0107,"[ 0.01193804 -0.01903053 -0.14823005 ... -0.10436442 -0.15874314
 -0.00968159]","[3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",IN AROW ONCE EXTO SEVEN CONTECTRIN OVEDA ANTRE TWO DISONAL FOUR
~k ~l ~m three one seven descend to flight level two nine zero ,041_0108,"[-0.09426679 -0.35000205 -0.17820588 ... -0.03306377  0.09140346
  0.0089273 ]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",CALUPS THREE BONT SEVENTY CENT A FLOWLEVEL TO NINAZERO
thank you ,041_0109,"[-0.39093578 -0.6569321  -0.7705592  ... -0.07854678  0.26247185
  0.03905992]",[3 3 3 3 3 4 3 3 3 4],SAGO
lufthansa five two one seven is identified good afternoon ,041_0110,"[-0.02614716 -0.6505829  -0.44591507 ... -0.5231929   0.07550852
  0.19732061]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4]",LOFTANZA FIVE TO ONE SEVEN A SIDENTIFINE GOOD AFTERNOON
belgian airforce one four four contact rhein radar one two seven decimal three seven ,041_0111,"[-0.16968504 -0.5932072  -0.15204644 ...  0.07098966 -0.03973516
  0.00116153]","[3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 4]",BE GAMER FOURCH ONE FOUR FOUR CONTACT RINORED AR ONE TWO SEVEN DE SIMITRASON
tarom three seven four is clear of traffic proceed to tango golf oscar ,041_0112,"[-0.54531085 -0.4659013  -0.29210022 ...  0.00549197 -0.05167261
  0.0437033 ]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4]",TE ANTRESA AND FORSLY OF TRAFIPROCY TO TENGO GOLVOSKA
